"Datum","Abfahrt (laut Plan)","Ankunft (laut Plan)","Zug","Verspätung (am Zielbahnhof)","Zugausfall"
"09.05.2022","17:22","18:48","ICE 727","19",""
"09.05.2022","18:22","19:48","ICE 729","32",""
"09.05.2022","18:54","20:30","ICE 129","12",""
"09.05.2022","19:08","20:48","ICE 821","26",""
"09.05.2022","19:28","22:13","ICE 1021","27",""
"09.05.2022","20:09","21:48","ICE 823","0",""
"09.05.2022","20:27","23:12","IC 2215","42",""
"09.05.2022","21:01","22:31","ICE 221","0",""
"09.05.2022","23:27","01:10","ICE 619","0",""
"09.05.2022","23:27","02:22","IC 60403","0",""
"10.05.2022","20:27","23:12","IC 2215","38",""
"10.05.2022","23:27","01:10","ICE 619","0",""
"10.05.2022","23:27","02:22","IC 60403","4",""
"11.05.2022","02:39","07:02","ICE 921","0",""
"11.05.2022","04:57","06:48","ICE 523","0",""
"11.05.2022","05:27","08:16","ICE  23","0",""
"11.05.2022","05:36","07:24","ICE 811","0",""
"11.05.2022","06:22","07:48","ICE 525","0",""
"11.05.2022","07:22","08:48","ICE 527","11",""
"11.05.2022","08:21","09:48","ICE 529","17",""
"11.05.2022","08:52","10:31","ICE 121","0","Ausfall (Startbahnhof)"
"11.05.2022","09:13","10:48","ICE 621","10",""
"11.05.2022","10:10","11:48","ICE 623","0",""
"11.05.2022","11:08","12:48","ICE 625","1",""
"11.05.2022","12:20","13:48","ICE 627","0",""
"11.05.2022","12:58","14:26","ICE 123","0","Ausfall (Startbahnhof)"
"11.05.2022","13:08","14:48","ICE 629","5",""
"11.05.2022","13:33","15:24","ICE 817","0",""
"11.05.2022","14:21","15:48","ICE 721","16",""
"11.05.2022","14:57","16:31","ICE 125","0","Ausfall (Startbahnhof)"
"11.05.2022","15:11","16:48","ICE 723","0",""
"11.05.2022","15:27","18:13","ICE 927","8",""
"11.05.2022","16:22","17:48","ICE 725","11",""
"11.05.2022","16:58","18:31","ICE 127","0","Ausfall (Startbahnhof)"
"11.05.2022","17:22","18:48","ICE 727","0",""
"11.05.2022","18:22","19:48","ICE 729","0",""
"11.05.2022","18:54","20:30","ICE 129","5",""
"11.05.2022","19:08","20:48","ICE 821","0",""
"11.05.2022","19:28","22:13","ICE 1021","9",""
"11.05.2022","20:09","21:48","ICE 823","0",""
"11.05.2022","20:27","23:12","IC 2215","9",""
"11.05.2022","21:01","22:31","ICE 221","0",""
"11.05.2022","23:27","01:10","ICE 619","3",""
"11.05.2022","23:27","02:22","IC 60403","17",""
"12.05.2022","02:39","07:02","ICE 921","7",""
"12.05.2022","04:57","06:48","ICE 523","0",""
"12.05.2022","05:27","08:16","ICE  23","7",""
"12.05.2022","05:36","07:24","ICE 811","0",""
"12.05.2022","06:22","07:48","ICE 525","2",""
"12.05.2022","07:22","08:48","ICE 527","0",""
"12.05.2022","08:21","09:48","ICE 529","3",""
"12.05.2022","08:52","10:31","ICE 121","0",""
"12.05.2022","09:13","10:48","ICE 621","0",""
"12.05.2022","10:10","11:48","ICE 623","2",""
"12.05.2022","11:08","12:48","ICE 625","3",""
"12.05.2022","12:20","13:48","ICE 627","12",""
"12.05.2022","12:58","14:26","ICE 123","0","Ausfall (Startbahnhof)"
"12.05.2022","13:08","14:48","ICE 629","3",""
"12.05.2022","13:33","15:24","ICE 817","0","Ausfall (Startbahnhof)"
"12.05.2022","14:21","15:48","ICE 721","23",""
"12.05.2022","14:57","16:31","ICE 125","0","Ausfall (Startbahnhof)"
"12.05.2022","15:11","16:48","ICE 723","0",""
"12.05.2022","15:27","18:13","ICE 927","8",""
"12.05.2022","16:22","17:48","ICE 725","17",""
"12.05.2022","16:58","18:31","ICE 127","0","Ausfall (Startbahnhof)"
"12.05.2022","17:22","18:48","ICE 727","46",""
"12.05.2022","18:22","19:48","ICE 729","4",""
"12.05.2022","18:54","20:30","ICE 129","0",""
"12.05.2022","19:08","20:48","ICE 821","0",""
"12.05.2022","19:28","22:13","ICE 1021","19",""
"12.05.2022","20:09","21:48","ICE 823","0",""
"12.05.2022","20:27","23:12","IC 2215","51",""
"12.05.2022","21:01","22:31","ICE 221","8",""
"12.05.2022","23:27","01:10","ICE 619","27",""
"12.05.2022","23:27","02:22","IC 60403","24",""
"13.05.2022","02:39","07:02","ICE 921","31",""
"13.05.2022","04:57","06:48","ICE 523","23",""
"13.05.2022","05:27","08:16","ICE  23","46",""
"13.05.2022","05:36","07:24","ICE 811","0","Ausfall (Startbahnhof)"
"13.05.2022","06:22","07:48","ICE 525","0",""
"13.05.2022","07:22","08:48","ICE 527","9",""
"13.05.2022","08:21","09:48","ICE 529","2",""
"13.05.2022","08:52","10:31","ICE 121","5",""
"13.05.2022","09:13","10:48","ICE 621","0",""
"13.05.2022","10:10","11:48","ICE 623","0",""
"13.05.2022","11:08","12:48","ICE 625","0",""
"13.05.2022","12:20","13:48","ICE 627","2",""
"13.05.2022","12:58","14:26","ICE 123","2",""
"13.05.2022","13:08","14:48","ICE 629","12",""
"13.05.2022","13:33","15:24","ICE 817","0","Ausfall (Startbahnhof)"
"13.05.2022","14:21","15:48","ICE 721","4",""
"13.05.2022","14:57","16:31","ICE 125","17",""
"13.05.2022","15:11","16:48","ICE 723","3",""
"13.05.2022","15:27","18:13","ICE 927","134",""
"13.05.2022","16:22","17:48","ICE 725","33",""
"13.05.2022","16:58","18:31","ICE 127","12",""
"13.05.2022","17:22","18:48","ICE 727","6",""
"13.05.2022","18:22","19:48","ICE 729","16",""
"13.05.2022","18:54","20:30","ICE 129","0",""
"13.05.2022","19:28","22:13","ICE 1021","110",""
"13.05.2022","20:09","21:48","ICE 823","13",""
"13.05.2022","20:27","23:12","IC 2215","137",""
"13.05.2022","21:01","22:31","ICE 221","0",""
"13.05.2022","23:27","01:10","ICE 619","53",""
"13.05.2022","23:27","02:22","IC 60403","51",""
"14.05.2022","02:39","07:02","ICE 921","5",""
"14.05.2022","04:50","08:14","ICE 2523","3",""
"14.05.2022","04:57","06:48","ICE 523","7",""
"14.05.2022","06:22","07:48","ICE 525","2",""
"14.05.2022","07:22","08:48","ICE 527","0",""
"14.05.2022","08:21","09:48","ICE 529","0",""
"14.05.2022","08:48","10:31","ICE 121","0",""
"14.05.2022","09:13","10:48","ICE 621","6",""
"14.05.2022","10:10","11:48","ICE 623","0",""
"14.05.2022","11:08","12:48","ICE 625","0",""
"14.05.2022","12:20","13:48","ICE 627","42",""
"14.05.2022","12:48","14:26","ICE 123","0","Ausfall (Startbahnhof)"
"14.05.2022","13:08","14:48","ICE 629","6",""
"14.05.2022","13:33","15:24","ICE 817","0",""
"14.05.2022","14:21","15:48","ICE 721","0",""
"14.05.2022","14:54","16:31","ICE 125","0","Ausfall (Startbahnhof)"
"14.05.2022","15:11","16:48","ICE 723","2",""
"14.05.2022","15:47","18:52","ICE 927","141",""
"14.05.2022","16:22","17:48","ICE 725","9",""
